date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:43:04	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Dec%202024%2015:42:56%20GMT	http://fcefa.uto.edu.bo:8080/robots.txt		(from )
11:43:05	1126/1126	---M--	200	added ('OK')	text/html	etag:W/%221126-1707780738000%22	http://fcefa.uto.edu.bo:8080/estudiante/	E:/Melodyofi/melody%203/fcefa.uto.edu.bo_8080/estudiante/index.html	(from )
11:43:05	2550/2550	---M--	200	added ('OK')	image/x-icon	etag:W/%222550-1707780738000%22	http://fcefa.uto.edu.bo:8080/estudiante/imagenes/principal/icono.ico	E:/Melodyofi/melody%203/fcefa.uto.edu.bo_8080/estudiante/imagenes/principal/icono.ico	(from http://fcefa.uto.edu.bo:8080/estudiante/)
11:43:05	1246/1246	---M--	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2015:42:56%20GMT	http://fcefa.uto.edu.bo:8080/estudiante/verEncabezado.cetic	E:/Melodyofi/melody%203/fcefa.uto.edu.bo_8080/estudiante/verEncabezado.html	(from http://fcefa.uto.edu.bo:8080/estudiante/)
11:43:05	2098/2098	---M--	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2015:42:57%20GMT	http://fcefa.uto.edu.bo:8080/estudiante/login.cetic	E:/Melodyofi/melody%203/fcefa.uto.edu.bo_8080/estudiante/login.html	(from http://fcefa.uto.edu.bo:8080/estudiante/)
11:43:06	814/814	---M--	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2015:42:57%20GMT	http://fcefa.uto.edu.bo:8080/estudiante/verCuerpo.cetic	E:/Melodyofi/melody%203/fcefa.uto.edu.bo_8080/estudiante/verCuerpo.html	(from http://fcefa.uto.edu.bo:8080/estudiante/)
11:43:06	2047/2047	---M--	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2015:42:57%20GMT	http://fcefa.uto.edu.bo:8080/estudiante/verPie.cetic	E:/Melodyofi/melody%203/fcefa.uto.edu.bo_8080/estudiante/verPie.html	(from http://fcefa.uto.edu.bo:8080/estudiante/)
11:43:06	6529/6529	---M--	200	added ('OK')	text/css	etag:W/%226529-1707780738000%22	http://fcefa.uto.edu.bo:8080/estudiante/pagina.css	E:/Melodyofi/melody%203/fcefa.uto.edu.bo_8080/estudiante/pagina.css	(from http://fcefa.uto.edu.bo:8080/estudiante/verEncabezado.cetic)
11:43:06	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Dec%202024%2015:42:58%20GMT	http://fcefa.uto.edu.bo:8080/pagina.css	E:/Melodyofi/melody%203/fcefa.uto.edu.bo_8080/pagina.6.delayed	(from http://fcefa.uto.edu.bo:8080/estudiante/verEncabezado.cetic)
11:43:07	26759/26759	---M--	200	added ('OK')	application/javascript	etag:W/%2226759-1707780736000%22	http://fcefa.uto.edu.bo:8080/estudiante/funciones.js	E:/Melodyofi/melody%203/fcefa.uto.edu.bo_8080/estudiante/funciones.js	(from http://fcefa.uto.edu.bo:8080/estudiante/verEncabezado.cetic)
